,longitude,latitude,B2,B3,B4,B8,B11,B12,predpH1
70,140.063836879697,40.28229888625179,590,874,755,2605,1760,1191,6.368040816679527
71,140.087821897783,40.28274804389385,475,598,477,1698,1045,590,6.440820702796036
72,140.08755240319775,40.28292770695067,520,728,615,2160,1412,796,6.342718152669659
73,140.06823862458918,40.287688777956504,582,926,752,2885,2129,1418,6.319100122067122
74,140.06599283637888,40.28876675629745,648,913,800,2558,2131,1394,6.30164759836332
75,140.0661724994357,40.288946419354275,671,1020,870,2958,2215,1418,6.370181439507699
76,140.0704844127995,40.290563386865685,723,1015,1066,2628,2394,1535,6.442311003903775
77,140.0706640758563,40.290832881450925,827,1136,1096,3005,2666,1827,6.299247860883708
78,140.05763850423656,40.29101254450775,694,1013,919,2930,2069,1299,6.4382992888206205
79,140.07174205419724,40.29110237603616,624,871,792,2641,1819,1099,6.3049175109993
80,140.0706640758563,40.29119220756457,599,901,812,2614,2134,1294,6.305402600848836
81,140.05826732493546,40.29119220756457,583,915,781,2994,2209,1322,6.362636150252505
82,140.05709951506608,40.291282039092984,612,966,783,3186,2072,1225,6.240997535830391
83,140.0698555921006,40.2913718706214,583,882,725,3116,1957,1142,6.319987311618918
84,140.0708437389131,40.2913718706214,600,891,807,2803,1955,1219,6.33809629835557
85,140.0579079988218,40.2913718706214,577,916,750,3090,2289,1425,6.362334950001933
86,140.0721013803109,40.291551533678216,679,962,918,2967,1913,1184,6.270174691194808
87,140.069945423629,40.291551533678216,582,866,788,2837,1939,1142,6.277671599244467
88,140.05674018895246,40.291551533678216,573,917,721,3303,2259,1321,6.319332030541431
89,140.0704844127995,40.29164136520663,543,817,676,3233,1663,953,6.297085296873651
90,140.07093357044153,40.29173119673504,615,897,808,3240,1752,1034,6.248021120938399
91,140.07012508668583,40.29191085979187,601,893,808,2908,1863,1063,6.683785899808026
92,140.0706640758563,40.29209052284869,793,1194,1152,3297,2234,1426,6.877268503460987
93,140.07353868476548,40.292270185905515,1178,1606,1938,3033,3080,2335,6.276360475718525
94,140.05674018895246,40.29244984896234,680,999,930,2879,2293,1440,6.685331369120846
95,140.07326919018024,40.29262951201916,1082,1512,1842,2889,3083,2430,6.275852030221556
96,140.05880631410594,40.29253968049075,553,871,668,2784,1935,1119,6.68954778799916
97,140.0572791781229,40.292719343547574,957,1350,1456,3012,2660,1947,6.658795594719469
98,140.07326919018024,40.2928990066044,1122,1486,1792,2943,3142,2480,6.628606872106648
99,140.07255053795296,40.2928990066044,686,1072,935,3239,2092,1305,6.309461916451457
100,140.0721912118393,40.29325833271805,577,885,728,2811,2029,1225,6.358503956818463
101,140.07317935865183,40.29334816424646,626,933,814,2987,2102,1327,6.290141473698714
102,140.0721013803109,40.29343799577487,677,962,901,2983,2226,1415,6.32000357785322
103,140.0729098640666,40.29361765883169,598,918,765,3077,2082,1293,6.273568761593673
104,140.07201154878248,40.29379732188852,592,908,743,2912,1849,1106,6.303305171409296
105,140.05665035742405,40.293707490360106,579,926,697,3303,2266,1230,6.377941604527667
106,140.07273020100976,40.29388715341693,627,926,781,3077,2022,1271,6.737722993050955
107,140.07129289655518,40.29406681647375,717,1070,1021,3038,2254,1460,6.434697723267102
108,140.07183188572566,40.294156648002165,675,1022,941,3083,2053,1282,6.287598843863687
109,140.07264036948138,40.29424647953058,619,900,763,2575,2049,1290,6.209321611963788
110,140.07120306502676,40.294426142587405,698,982,874,3093,2150,1352,6.054818043513749
111,140.07183188572566,40.29451597411581,1434,1788,2216,3359,3988,2825,6.270269736264253
112,140.07228104336772,40.294605805644224,599,872,745,2901,2305,1441,6.351091042818609
113,140.08701341402727,40.29469563717264,814,1070,1310,2494,2734,1856,6.275387766415066
114,140.07255053795296,40.29469563717264,580,887,659,2929,1928,1131,6.268980944685225
115,140.07282003253817,40.29469563717264,544,908,630,3414,1909,1142,6.402718946420855
116,140.0736285162939,40.294875300229464,647,987,856,3072,2013,1268,6.245137199351021
117,140.07156239114042,40.29478546870105,594,915,780,2926,1859,1079,6.330368045776081
118,140.07326919018024,40.294875300229464,623,980,729,3415,1687,953,6.24968052120726
119,140.0585368195207,40.294875300229464,571,855,733,2396,2103,1393,6.238582222537211
