lat,lon,APCP_mean,xy,time,APCP_2021
40.270832,140.01875,4.752393,"40.270832,140.01875",2021/11/18,12.314665
40.270832,140.01875,4.745895,"40.270832,140.01875",2021/11/19,1.0756406
40.270832,140.01875,4.6532073,"40.270832,140.01875",2021/11/20,1.7755836
40.270832,140.01875,4.6477203,"40.270832,140.01875",2021/11/21,0
40.270832,140.01875,4.633729,"40.270832,140.01875",2021/11/22,0
40.270832,140.01875,4.5545955,"40.270832,140.01875",2021/11/23,0
40.270832,140.01875,4.550743,"40.270832,140.01875",2021/11/24,0
40.270832,140.01875,4.465191,"40.270832,140.01875",2021/11/25,45.662987
40.270832,140.01875,4.463817,"40.270832,140.01875",2021/11/26,0
40.270832,140.01875,4.4637995,"40.270832,140.01875",2021/11/27,0
40.270832,140.01875,4.465648,"40.270832,140.01875",2021/11/28,0
40.270832,140.01875,4.4685125,"40.270832,140.01875",2021/11/29,2.3099282
40.270832,140.01875,4.461416,"40.270832,140.01875",2021/11/30,0
40.270832,140.01875,4.464866,"40.270832,140.01875",2021/12/1,0
40.270832,140.01875,4.465188,"40.270832,140.01875",2021/12/2,0
40.270832,140.01875,4.4642496,"40.270832,140.01875",2021/12/3,3.3286166
40.270832,140.01875,4.537622,"40.270832,140.01875",2021/12/4,0
40.270832,140.01875,4.526989,"40.270832,140.01875",2021/12/5,0
40.270832,140.01875,4.5221033,"40.270832,140.01875",2021/12/6,0
40.270832,140.01875,4.507347,"40.270832,140.01875",2021/12/7,0
40.270832,140.01875,4.4889183,"40.270832,140.01875",2021/12/8,0
40.270832,140.01875,4.3944016,"40.270832,140.01875",2021/12/9,0
40.270832,140.01875,4.374516,"40.270832,140.01875",2021/12/10,22.606659
40.270832,140.01875,4.354252,"40.270832,140.01875",2021/12/11,0.81625026
40.270832,140.01875,4.2597685,"40.270832,140.01875",2021/12/12,0
40.270832,140.01875,4.2489114,"40.270832,140.01875",2021/12/13,0.67811024
40.270832,140.01875,4.1577115,"40.270832,140.01875",2021/12/14,7.0121226
40.270832,140.01875,4.1516705,"40.270832,140.01875",2021/12/15,0.9491255
40.270832,140.01875,4.14616,"40.270832,140.01875",2021/12/16,0
40.270832,140.01875,4.1448817,"40.270832,140.01875",2021/12/17,0
40.270832,140.01875,4.1393404,"40.270832,140.01875",2021/12/18,0
