,id,longitude,latitude,time,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,AOT,WVP,SCL,TCI_R,TCI_G,TCI_B,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60
1,20211108T012849_20211108T013450_T54TVK,140.0646453634527,40.27205809201283,2021-11-08,231,321,574,462,966,1675,1848,2182,1970,2033,1600,1018,96,775,4,47,59,32,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.066891151663,40.285802315859854,2021-11-08,73,293,461,532,814,1129,1342,1674,1593,1789,1570,994,96,765,7,54,46,30,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.0631182274697,40.290563386865685,2021-11-08,73,331,497,615,846,1338,1492,1836,1651,1755,1538,1009,96,765,7,62,50,35,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.05925547174797,40.2928990066044,2021-11-08,109,259,387,475,817,1431,1730,2152,1900,2366,1545,963,96,784,4,49,40,28,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.0615910914867,40.28472433751891,2021-11-08,54,370,587,780,1058,1776,1853,2348,2300,1960,1907,1146,96,765,4,81,60,38,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.06060294467417,40.28804810407016,2021-11-08,140,348,584,633,1032,1560,1722,2180,2066,2038,1886,1299,96,824,4,66,60,36,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.0862947618,40.28741928337127,2021-11-08,222,409,700,612,1049,1714,1932,2162,2047,2053,1604,1036,96,765,4,64,72,42,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.07704211437354,40.27241741812647,2021-11-08,84,237,429,414,822,1343,1585,1866,1757,1721,1501,939,96,765,4,44,45,25,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.07704211437354,40.27241741812647,2021-11-08,84,237,429,414,822,1343,1585,1866,1757,1721,1501,939,96,765,4,44,45,25,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.07704211437354,40.27214792354124,2021-11-08,84,233,433,405,836,1281,1385,1614,1600,1721,1213,799,96,765,4,42,44,22,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.07704211437354,40.27214792354124,2021-11-08,84,233,433,405,836,1281,1385,1614,1600,1721,1213,799,96,765,4,42,44,22,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.07506582074848,40.27017162991618,2021-11-08,1,286,391,387,531,894,1006,1316,1123,1429,925,632,96,765,2,39,39,29,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.08611509874316,40.287509114899684,2021-11-08,222,390,533,661,910,1161,1284,1400,1542,2053,1559,1112,96,765,7,68,55,41,0,0,0,0,2048
