,system:index.4,VV.4,SM(%)_pred.4,geometry,pred_labels
125,20210902T083446,-11.45693259,29.20675806,"{""type"":""Point"",""coordinates"":[140.0754508487121,40.30155914564314]}",0
126,20210902T083446,-6.5132003,42.98189968,"{""type"":""Point"",""coordinates"":[140.07577661882064,40.301668575851004]}",1
127,20210902T083446,-10.46869295,31.96037418,"{""type"":""Point"",""coordinates"":[140.0709120023653,40.301721562304266]}",0
128,20210902T083446,-7.670772675,39.75645735,"{""type"":""Point"",""coordinates"":[140.03564525702024,40.31943800491984]}",2
129,20210902T083446,-4.725235826,47.96385712,"{""type"":""Point"",""coordinates"":[140.0351036931882,40.319796393313474]}",3
130,20210902T083446,-9.378843138,34.99711539,"{""type"":""Point"",""coordinates"":[140.0884948504625,40.33191483720449]}",2
131,20210902T083446,-9.534086788,34.56454681,"{""type"":""Point"",""coordinates"":[140.0882951135714,40.33201637623988]}",0
132,20210902T083446,-6.860559762,42.01402248,"{""type"":""Point"",""coordinates"":[140.08807765525,40.3321356834242]}",1
133,20210902T083446,-8.556501271,37.28847645,"{""type"":""Point"",""coordinates"":[140.08786024535848,40.33225051983905]}",2
134,20210902T083446,-11.39208257,29.38745519,"{""type"":""Point"",""coordinates"":[140.09098678345902,40.33320946795188]}",0
135,20210902T083446,-11.42192756,29.30429554,"{""type"":""Point"",""coordinates"":[140.0911195699741,40.33335338145562]}",0
136,20210902T083446,-8.234596618,38.18542676,"{""type"":""Point"",""coordinates"":[140.09126988154227,40.33349740723614]}",2
137,20210902T083446,-11.5407555,28.97319517,"{""type"":""Point"",""coordinates"":[140.09133203247654,40.33369004466143]}",0
138,20210902T083446,-9.573005436,34.45610447,"{""type"":""Point"",""coordinates"":[140.08667050783183,40.292301760828146]}",0
139,20210902T083446,-7.305670419,40.77377281,"{""type"":""Point"",""coordinates"":[140.08668383956646,40.292681856233884]}",1
140,20210902T083446,-9.53165001,34.57133661,"{""type"":""Point"",""coordinates"":[140.08189112855115,40.28524734718261]}",0
141,20210902T083446,-14.1273952,21.76582103,"{""type"":""Point"",""coordinates"":[140.0776420388368,40.29094216890213]}",4
142,20210902T083446,-16.66906029,14.68376348,"{""type"":""Point"",""coordinates"":[140.07775883207933,40.290415389294466]}",4
143,20210902T083446,-7.613751205,39.91534112,"{""type"":""Point"",""coordinates"":[140.07139063688928,40.29030209459592]}",2
144,20210902T083446,-9.863343662,33.64711038,"{""type"":""Point"",""coordinates"":[140.0672519499653,40.283528479189094]}",0
145,20210902T083446,-9.261727065,35.32344586,"{""type"":""Point"",""coordinates"":[140.06722180527186,40.28361322292797]}",2
146,20210902T083446,-9.911074487,33.51411393,"{""type"":""Point"",""coordinates"":[140.06440807654496,40.283098309871534]}",0
147,20210902T083446,-9.468871176,34.74626261,"{""type"":""Point"",""coordinates"":[140.08608254361985,40.283665039671945]}",0
148,20210902T083446,-10.43182422,32.06310467,"{""type"":""Point"",""coordinates"":[140.07684997546417,40.29914518843256]}",0
149,20210902T083446,-6.630158102,42.65601022,"{""type"":""Point"",""coordinates"":[140.07562234793528,40.298229604261145]}",1
150,20210902T083446,0.915608486,63.68142125,"{""type"":""Point"",""coordinates"":[140.0753749047258,40.2968599514373]}",3
151,20210902T083446,-7.559753825,40.06579861,"{""type"":""Point"",""coordinates"":[140.0756143666621,40.2978987207565]}",1
152,20210902T083446,-9.069171375,35.85998015,"{""type"":""Point"",""coordinates"":[140.0783738123104,40.30020575497822]}",2
153,20210902T083446,-9.216789753,35.44865852,"{""type"":""Point"",""coordinates"":[140.07825378951625,40.299972495743184]}",2
154,20210902T083446,-5.809724434,44.9420543,"{""type"":""Point"",""coordinates"":[140.07758205269633,40.29999493371851]}",1
155,20210902T083446,-11.09278601,30.22141064,"{""type"":""Point"",""coordinates"":[140.07804965187285,40.300476351312554]}",0
156,20210902T083446,-10.93449143,30.66248028,"{""type"":""Point"",""coordinates"":[140.0778940629888,40.300815107945986]}",0
157,20210902T083446,-6.667277821,42.55258039,"{""type"":""Point"",""coordinates"":[140.07713075011992,40.3011946004893]}",1
158,20210902T083446,-8.618903505,37.1145998,"{""type"":""Point"",""coordinates"":[140.07644912497355,40.303148305004086]}",2
159,20210902T083446,-15.16338597,18.87915185,"{""type"":""Point"",""coordinates"":[140.05076091417124,40.27035024548832]}",4
160,20210902T083446,-7.253828638,40.91822397,"{""type"":""Point"",""coordinates"":[140.04964386362727,40.27054833783531]}",1
161,20210902T083446,-6.484236479,43.06260404,"{""type"":""Point"",""coordinates"":[140.04844227518348,40.26897097446548]}",1
162,20210902T083446,-7.996923217,38.84767636,"{""type"":""Point"",""coordinates"":[140.08405850608432,40.28510492874182]}",2
163,20210902T083446,-7.900104278,39.11745121,"{""type"":""Point"",""coordinates"":[140.08173743760395,40.28436562031958]}",2
164,20210902T083446,-7.323276262,40.72471615,"{""type"":""Point"",""coordinates"":[140.08269325935467,40.28345086030596]}",1
165,20210902T083446,-8.845104428,36.48431694,"{""type"":""Point"",""coordinates"":[140.08131336629896,40.28312447970852]}",2
166,20210902T083446,-6.913581207,41.86628432,"{""type"":""Point"",""coordinates"":[140.0814485121908,40.28304488534205]}",1
167,20210902T083446,-8.739830868,36.77764961,"{""type"":""Point"",""coordinates"":[140.08039106006328,40.281017249885615]}",2
168,20210902T083446,-10.22685693,32.63422245,"{""type"":""Point"",""coordinates"":[140.08015971480825,40.28082350380581]}",0
169,20210902T083446,-7.647006218,39.82267985,"{""type"":""Point"",""coordinates"":[140.0799400943563,40.28062536289957]}",2
170,20210902T083446,-13.53880926,23.40584807,"{""type"":""Point"",""coordinates"":[140.0685476491282,40.28717620143806]}",4
171,20210902T083446,-8.54867123,37.31029396,"{""type"":""Point"",""coordinates"":[140.06872967475041,40.28656491865252]}",2
172,20210902T083446,-7.755109123,39.52146354,"{""type"":""Point"",""coordinates"":[140.06887755995572,40.28794734197481]}",2
173,20210902T083446,-8.737752389,36.78344105,"{""type"":""Point"",""coordinates"":[140.06894495011827,40.28714753206777]}",2
174,20210902T083446,-9.584564106,34.42389757,"{""type"":""Point"",""coordinates"":[140.06811156520754,40.283914177333685]}",0
175,20210902T083446,-8.908277731,36.30829179,"{""type"":""Point"",""coordinates"":[140.06838838260288,40.28369694341402]}",2
176,20210902T083446,-8.362354352,37.82944452,"{""type"":""Point"",""coordinates"":[140.0853818566112,40.284210408902815]}",2
177,20210902T083446,-7.439093174,40.40200564,"{""type"":""Point"",""coordinates"":[140.07758711270125,40.29849281434081]}",1
178,20210902T083446,-5.152583194,46.77310281,"{""type"":""Point"",""coordinates"":[140.0803798492664,40.29938727963568]}",3
179,20210902T083446,-7.672013242,39.75300065,"{""type"":""Point"",""coordinates"":[140.0804303787577,40.299043365180864]}",2
